source,code,qualifier,meaning
usda,,measured,No derivation code published. Foundation Foods are analytical by definition.
usda,A,measured,Analytical
usda,AI,measured,Analytical data; from the literature or government; incomplete documentation
usda,AR,measured,Analytical data; derived by linear regression
usda,AS,measured,Summed
usda,BD,borrowed,Based on same food; Drained solids from solids and liquids or vice versa (canned fruits and vegetables)
usda,BFAN,borrowed,Based on another form of the food or similar food; Concentration adjustment; Ash; Retention factors not used
usda,BFAY,borrowed,Based on another form of the food or similar food; Concentration adjustment; Ash; Retention factors used
usda,BFCN,borrowed,Based on another form of the food or similar food; Concentration adjustment; Carbohydrate; Retention factors not used
usda,BFCY,borrowed,Based on another form of the food or similar food; Concentration adjustment; Carbohydrate; Retention factors used
usda,BFFN,borrowed,Based on another form of the food or similar food; Concentration adjustment; Fat; Retention factors not used
usda,BFFY,borrowed,Based on another form of the food or similar food; Concentration adjustment; Fat; Retention factors used
usda,BFNN,borrowed,Based on another form of the food or similar food; Concentration adjustment; Non-fat solids; Retention factors not used
usda,BFNY,borrowed,Based on another form of the food or similar food; Concentration adjustment; Non-fat solids; Retentions factors used
usda,BFPN,borrowed,Based on another form of the food or similar food; Concentration adjustment; Protein; Retention factors not used
usda,BFPY,borrowed,Based on another form of the food or similar food; Concentration adjustment; Protein; Retention factors used
usda,BFSN,borrowed,Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda,BFSY,borrowed,Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors used
usda,BFYN,borrowed,Based on another form of the food or similar food; Concentration adjustment; Yield; Retention factors not used
usda,BFYY,borrowed,Based on another form of the food or similar food; Concentration adjustment; Yield; Retention factors used
usda,BFZN,borrowed,Based on another form of the food or similar food; Concentration adjustment; No adjustment; Retention factors not used
usda,BFZY,borrowed,Based on another form of the food or similar food; Concentration adjustment; No adjustment; Retention factors used
usda,BNA,borrowed,Based on another form of the same food or similar food: constituents normalized to total; vitamin A
usda,CAAN,borrowed,Calculated from different food; From average values for food category; Ash; Retention factors not used
usda,CAAY,borrowed,Calculated from different food; From average values for food category; Ash; Retention factors used
usda,CACN,borrowed,Calculated from different food; From average values for food category; Carbohydrate; Retention factors not used
usda,CACY,borrowed,Calculated from different food; From average values for food category; Carbohydrate; Retention factors used
usda,CAFN,borrowed,Calculated from different food; From average values for food category; Fat; Retention factors not used
usda,CAFY,borrowed,Calculated from different food; From average values for food category; Fat; Retention factors used
usda,CANN,borrowed,Calculated from different food; From average values for food category; Non-fat solids; Retention factors not used
usda,CANY,borrowed,Calculated from different food; From average values for food category; Non-fat solids; Retention factors used
usda,CAPN,borrowed,Calculated from different food; From average values for food category; Protein; Retention factors not used
usda,CAPY,borrowed,Calculated from different food; From average values for food category; Protein; Retention factors used
usda,CASN,borrowed,Calculated from different food; From average values for food category; Solids; Retention factors not used
usda,CASY,borrowed,Calculated from different food; From average values for food category; Solids; Retention factors used
usda,CAZN,borrowed,Calculated from different food; From average values for food category; No adjustment; Retention factors not used
usda,CAZY,borrowed,Calculated from different food; From average values for food category; No adjustment; Retention factors used
usda,DA,calculated_factor,Concentration adjustment using factor; derived from analytical data
usda,DI,calculated_factor,Concentration adjustment using factor; derived from imputed data
usda,FLA,calculated_recipe,Estimated formulation based on ingredient list; Linear program used to estimate ingredients; Analytical data
usda,FLC,calculated_recipe,Estimated formulation based on ingredient list; Linear program used to estimate ingredients; Claim on label/serving
usda,FLM,calculated_recipe,Estimated formulation based on ingredient list; Linear program used to estimate ingredients; Manuf. Calc. data/100
usda,JA,measured,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda,JO,borrowed,"Aggregated data involving combinations of data with different source codes when at least one code is not 1, 6, 12, or 13"
